Net Asset Value,Repurchase Price,Sale Price,NAV date
14.67,,,10-Jul-2020
14.8,,,13-Jul-2020
14.62,,,14-Jul-2020
14.71,,,15-Jul-2020
14.86,,,16-Jul-2020
15.14,,,17-Jul-2020
15.22,,,20-Jul-2020
15.28,,,21-Jul-2020
15.24,,,22-Jul-2020
15.31,,,23-Jul-2020
15.23,,,24-Jul-2020
15.19,,,27-Jul-2020
15.28,,,28-Jul-2020
15.25,,,29-Jul-2020
15.09,,,30-Jul-2020
15.16,,,31-Jul-2020
15.15,,,03-Aug-2020
15.17,,,04-Aug-2020
15.2,,,05-Aug-2020
15.35,,,06-Aug-2020
15.33,,,07-Aug-2020
15.53,,,10-Aug-2020
15.6,,,11-Aug-2020
15.59,,,12-Aug-2020
15.68,,,13-Aug-2020
15.53,,,14-Aug-2020
15.77,,,17-Aug-2020
15.84,,,18-Aug-2020
15.91,,,19-Aug-2020
16.08,,,20-Aug-2020
16.26,,,21-Aug-2020
16.35,,,24-Aug-2020
16.25,,,25-Aug-2020
16.31,,,26-Aug-2020
16.28,,,27-Aug-2020
16.21,,,28-Aug-2020
15.7,,,31-Aug-2020
15.75,,,01-Sep-2020
15.92,,,02-Sep-2020
15.97,,,03-Sep-2020
15.69,,,04-Sep-2020
15.6,,,07-Sep-2020
15.48,,,08-Sep-2020
15.39,,,09-Sep-2020
15.51,,,10-Sep-2020
15.55,,,11-Sep-2020
15.79,,,14-Sep-2020
15.93,,,15-Sep-2020
15.98,,,16-Sep-2020
15.92,,,17-Sep-2020
16.04,,,18-Sep-2020
15.63,,,21-Sep-2020
15.43,,,22-Sep-2020
15.45,,,23-Sep-2020
15,,,24-Sep-2020
15.42,,,25-Sep-2020
15.65,,,28-Sep-2020
15.57,,,29-Sep-2020
15.5,,,30-Sep-2020
15.58,,,01-Oct-2020
15.73,,,05-Oct-2020
15.81,,,06-Oct-2020
15.64,,,07-Oct-2020
15.57,,,08-Oct-2020
15.65,,,09-Oct-2020
15.41,,,12-Oct-2020
15.44,,,13-Oct-2020
15.27,,,14-Oct-2020
15.04,,,15-Oct-2020
15.35,,,16-Oct-2020
15.53,,,19-Oct-2020
15.48,,,20-Oct-2020
15.51,,,21-Oct-2020
15.59,,,22-Oct-2020
15.64,,,23-Oct-2020
15.48,,,26-Oct-2020
15.51,,,27-Oct-2020
15.45,,,28-Oct-2020
15.38,,,29-Oct-2020
15.44,,,30-Oct-2020
15.47,,,02-Nov-2020
15.45,,,03-Nov-2020
15.45,,,04-Nov-2020
15.8,,,05-Nov-2020
15.84,,,06-Nov-2020
16.07,,,09-Nov-2020
16.1,,,10-Nov-2020
16.28,,,11-Nov-2020
16.32,,,12-Nov-2020
16.41,,,13-Nov-2020
16.57,,,17-Nov-2020
16.62,,,18-Nov-2020
16.63,,,19-Nov-2020
16.8,,,20-Nov-2020
17.04,,,23-Nov-2020
17.27,,,24-Nov-2020
17.07,,,25-Nov-2020
17.21,,,26-Nov-2020
17.44,,,27-Nov-2020
17.66,,,01-Dec-2020
17.72,,,02-Dec-2020
17.96,,,03-Dec-2020
18.14,,,04-Dec-2020
18.36,,,07-Dec-2020
18.35,,,08-Dec-2020
18.53,,,09-Dec-2020
18.47,,,10-Dec-2020
18.6,,,11-Dec-2020
18.68,,,14-Dec-2020
18.65,,,15-Dec-2020
18.81,,,16-Dec-2020
18.74,,,17-Dec-2020
18.79,,,18-Dec-2020
17.86,,,21-Dec-2020
18.16,,,22-Dec-2020
18.5,,,23-Dec-2020
18.74,,,24-Dec-2020
19.02,,,28-Dec-2020
19.11,,,29-Dec-2020
19.11,,,30-Dec-2020
19.09,,,31-Dec-2020
19.18,,,01-Jan-2021
19.51,,,04-Jan-2021
19.57,,,05-Jan-2021
19.57,,,06-Jan-2021
19.58,,,07-Jan-2021
19.83,,,08-Jan-2021
19.91,,,11-Jan-2021
20.05,,,12-Jan-2021
20.14,,,13-Jan-2021
20.15,,,14-Jan-2021
19.83,,,15-Jan-2021
19.47,,,18-Jan-2021
19.76,,,19-Jan-2021
19.89,,,20-Jan-2021
19.72,,,21-Jan-2021
19.51,,,22-Jan-2021
19.38,,,25-Jan-2021
19.09,,,27-Jan-2021
19,,,28-Jan-2021
18.68,,,29-Jan-2021
19.12,,,01-Feb-2021
19.59,,,02-Feb-2021
19.82,,,03-Feb-2021
20.12,,,04-Feb-2021
20.04,,,05-Feb-2021
20.4,,,08-Feb-2021
20.3,,,09-Feb-2021
20.32,,,10-Feb-2021
20.33,,,11-Feb-2021
20.18,,,12-Feb-2021
20.23,,,15-Feb-2021
20.32,,,16-Feb-2021
20.45,,,17-Feb-2021
20.73,,,18-Feb-2021
20.67,,,19-Feb-2021
20.45,,,22-Feb-2021
20.66,,,23-Feb-2021
20.79,,,24-Feb-2021
21.18,,,25-Feb-2021
20.78,,,26-Feb-2021
20.98,,,01-Mar-2021
21.51,,,02-Mar-2021
21.79,,,03-Mar-2021
21.84,,,04-Mar-2021
21.54,,,05-Mar-2021
21.75,,,08-Mar-2021
21.55,,,09-Mar-2021
21.67,,,10-Mar-2021
21.62,,,12-Mar-2021
21.57,,,15-Mar-2021
21.75,,,16-Mar-2021
21.32,,,17-Mar-2021
20.96,,,18-Mar-2021
21.18,,,19-Mar-2021
21.41,,,22-Mar-2021
21.36,,,23-Mar-2021
20.92,,,24-Mar-2021
20.51,,,25-Mar-2021
20.75,,,26-Mar-2021
21.1,,,30-Mar-2021
21.03,,,31-Mar-2021
21.38,,,01-Apr-2021
21.17,,,05-Apr-2021
21.33,,,06-Apr-2021
21.54,,,07-Apr-2021
21.58,,,08-Apr-2021
21.51,,,09-Apr-2021
20.51,,,12-Apr-2021
20.79,,,13-Apr-2021
20.77,,,15-Apr-2021
20.99,,,16-Apr-2021
20.63,,,19-Apr-2021
20.58,,,20-Apr-2021
20.58,,,22-Apr-2021
20.59,,,23-Apr-2021
20.7,,,26-Apr-2021
20.94,,,27-Apr-2021
21.1,,,28-Apr-2021
21.1,,,29-Apr-2021
21.05,,,30-Apr-2021
21.34,,,03-May-2021
21.37,,,04-May-2021
21.62,,,05-May-2021
21.76,,,06-May-2021
21.96,,,07-May-2021
22.23,,,10-May-2021
22.37,,,11-May-2021
22.25,,,12-May-2021
21.97,,,14-May-2021
22.21,,,17-May-2021
22.45,,,18-May-2021
22.56,,,19-May-2021
22.41,,,20-May-2021
22.63,,,21-May-2021
22.78,,,24-May-2021
22.85,,,25-May-2021
22.91,,,26-May-2021
23.02,,,27-May-2021
22.98,,,28-May-2021
23.08,,,31-May-2021
22.96,,,01-Jun-2021
23.07,,,02-Jun-2021
23.19,,,03-Jun-2021
23.22,,,04-Jun-2021
23.48,,,07-Jun-2021
23.71,,,08-Jun-2021
23.71,,,09-Jun-2021
24,,,10-Jun-2021
24.05,,,11-Jun-2021
24.01,,,14-Jun-2021
24.04,,,15-Jun-2021
23.98,,,16-Jun-2021
23.83,,,17-Jun-2021
23.62,,,18-Jun-2021
23.76,,,21-Jun-2021
23.73,,,22-Jun-2021
23.61,,,23-Jun-2021
23.7,,,24-Jun-2021
23.88,,,25-Jun-2021
24.01,,,28-Jun-2021
23.97,,,29-Jun-2021
23.93,,,30-Jun-2021
24,,,01-Jul-2021
24.11,,,02-Jul-2021
24.22,,,05-Jul-2021
24.07,,,06-Jul-2021
24.1,,,07-Jul-2021
24.02,,,08-Jul-2021
24.04,,,09-Jul-2021
24.07,,,12-Jul-2021
24.23,,,13-Jul-2021
24.37,,,14-Jul-2021
24.47,,,15-Jul-2021
24.49,,,16-Jul-2021
24.55,,,19-Jul-2021
24.14,,,20-Jul-2021
24.56,,,22-Jul-2021
24.7,,,23-Jul-2021
24.73,,,26-Jul-2021
24.73,,,27-Jul-2021
24.64,,,28-Jul-2021
24.86,,,29-Jul-2021
25.09,,,30-Jul-2021
25.32,,,02-Aug-2021
25.51,,,03-Aug-2021
25.46,,,04-Aug-2021
25.49,,,05-Aug-2021
25.55,,,06-Aug-2021
25.5,,,09-Aug-2021
25.39,,,10-Aug-2021
25.43,,,11-Aug-2021
25.8,,,12-Aug-2021
25.9,,,13-Aug-2021
25.85,,,16-Aug-2021
25.82,,,17-Aug-2021
25.72,,,18-Aug-2021
25.28,,,20-Aug-2021
25.2,,,23-Aug-2021
25.5,,,24-Aug-2021
25.59,,,25-Aug-2021
25.51,,,26-Aug-2021
25.66,,,27-Aug-2021
25.98,,,30-Aug-2021
26.2,,,31-Aug-2021
26.11,,,01-Sep-2021
26.22,,,02-Sep-2021
26.34,,,03-Sep-2021
26.36,,,06-Sep-2021
26.22,,,07-Sep-2021
26.29,,,08-Sep-2021
26.31,,,09-Sep-2021
26.41,,,13-Sep-2021
26.56,,,14-Sep-2021
26.91,,,15-Sep-2021
27.04,,,16-Sep-2021
26.89,,,17-Sep-2021
26.54,,,20-Sep-2021
26.72,,,21-Sep-2021
26.96,,,22-Sep-2021
27.33,,,23-Sep-2021
27.3,,,24-Sep-2021
27.29,,,27-Sep-2021
