,NAV,date
396,12.75,23-Apr-2020
397,12.75,23-Apr-2020
398,12.5,24-Apr-2020
399,12.5,24-Apr-2020
400,12.55,27-Apr-2020
401,12.55,27-Apr-2020
402,12.54,28-Apr-2020
403,12.54,28-Apr-2020
404,12.68,29-Apr-2020
405,12.68,29-Apr-2020
406,12.99,30-Apr-2020
407,12.99,30-Apr-2020
408,12.5,04-May-2020
409,12.5,04-May-2020
410,12.46,05-May-2020
411,12.46,05-May-2020
412,12.41,06-May-2020
413,12.41,06-May-2020
414,12.32,07-May-2020
415,12.32,07-May-2020
416,12.32,08-May-2020
417,12.32,08-May-2020
418,12.31,11-May-2020
419,12.31,11-May-2020
420,12.37,12-May-2020
421,12.37,12-May-2020
422,12.53,13-May-2020
423,12.53,13-May-2020
424,12.3,14-May-2020
425,12.3,14-May-2020
426,12.34,15-May-2020
427,12.34,15-May-2020
428,12.09,18-May-2020
429,12.09,18-May-2020
430,12.25,19-May-2020
431,12.25,19-May-2020
432,12.45,20-May-2020
433,12.45,20-May-2020
434,12.59,21-May-2020
435,12.59,21-May-2020
436,12.68,22-May-2020
437,12.68,22-May-2020
438,12.69,26-May-2020
439,12.69,26-May-2020
440,12.84,27-May-2020
441,12.84,27-May-2020
442,12.92,28-May-2020
443,12.92,28-May-2020
444,13.1,29-May-2020
445,13.1,29-May-2020
446,13.32,01-Jun-2020
447,13.32,01-Jun-2020
448,13.42,02-Jun-2020
449,13.42,02-Jun-2020
450,13.46,03-Jun-2020
451,13.46,03-Jun-2020
452,13.55,04-Jun-2020
453,13.55,04-Jun-2020
454,13.73,05-Jun-2020
455,13.73,05-Jun-2020
456,13.95,08-Jun-2020
457,13.95,08-Jun-2020
458,13.85,09-Jun-2020
459,13.85,09-Jun-2020
460,13.94,10-Jun-2020
461,13.94,10-Jun-2020
462,13.8,11-Jun-2020
463,13.8,11-Jun-2020
464,13.82,12-Jun-2020
465,13.82,12-Jun-2020
466,13.69,15-Jun-2020
467,13.69,15-Jun-2020
468,13.67,16-Jun-2020
469,13.67,16-Jun-2020
470,13.63,17-Jun-2020
471,13.63,17-Jun-2020
472,13.82,18-Jun-2020
473,13.82,18-Jun-2020
474,13.86,19-Jun-2020
475,13.86,19-Jun-2020
476,14.02,22-Jun-2020
477,14.02,22-Jun-2020
478,14.34,23-Jun-2020
479,14.34,23-Jun-2020
480,14.17,24-Jun-2020
481,14.17,24-Jun-2020
482,14.2,25-Jun-2020
483,14.2,25-Jun-2020
484,14.41,26-Jun-2020
485,14.17,29-Jun-2020
486,14.15,30-Jun-2020
487,14.24,01-Jul-2020
488,14.47,02-Jul-2020
489,14.55,03-Jul-2020
490,14.71,06-Jul-2020
491,14.74,07-Jul-2020
492,14.68,08-Jul-2020
493,14.77,09-Jul-2020
494,14.67,10-Jul-2020
495,14.8,13-Jul-2020
496,14.62,14-Jul-2020
497,14.71,15-Jul-2020
498,14.86,16-Jul-2020
499,15.14,17-Jul-2020
500,15.22,20-Jul-2020
501,15.28,21-Jul-2020
502,15.24,22-Jul-2020
503,15.31,23-Jul-2020
504,15.23,24-Jul-2020
505,15.19,27-Jul-2020
506,15.28,28-Jul-2020
507,15.25,29-Jul-2020
508,15.09,30-Jul-2020
509,15.16,31-Jul-2020
510,15.15,03-Aug-2020
511,15.17,04-Aug-2020
512,15.2,05-Aug-2020
513,15.35,06-Aug-2020
514,15.33,07-Aug-2020
515,15.53,10-Aug-2020
516,15.6,11-Aug-2020
517,15.59,12-Aug-2020
518,15.68,13-Aug-2020
519,15.53,14-Aug-2020
520,15.77,17-Aug-2020
521,15.84,18-Aug-2020
522,15.91,19-Aug-2020
523,16.08,20-Aug-2020
524,16.26,21-Aug-2020
525,16.35,24-Aug-2020
526,16.25,25-Aug-2020
527,16.31,26-Aug-2020
528,16.28,27-Aug-2020
529,16.21,28-Aug-2020
530,15.7,31-Aug-2020
531,15.75,01-Sep-2020
532,15.92,02-Sep-2020
533,15.97,03-Sep-2020
534,15.69,04-Sep-2020
535,15.6,07-Sep-2020
536,15.48,08-Sep-2020
537,15.39,09-Sep-2020
538,15.51,10-Sep-2020
539,15.55,11-Sep-2020
540,15.79,14-Sep-2020
541,15.93,15-Sep-2020
542,15.98,16-Sep-2020
543,15.92,17-Sep-2020
544,16.04,18-Sep-2020
545,15.63,21-Sep-2020
546,15.43,22-Sep-2020
547,15.45,23-Sep-2020
548,15.0,24-Sep-2020
549,15.42,25-Sep-2020
550,15.65,28-Sep-2020
551,15.57,29-Sep-2020
552,15.5,30-Sep-2020
553,15.58,01-Oct-2020
554,15.73,05-Oct-2020
555,15.81,06-Oct-2020
556,15.64,07-Oct-2020
557,15.57,08-Oct-2020
558,15.65,09-Oct-2020
559,15.41,12-Oct-2020
560,15.44,13-Oct-2020
561,15.27,14-Oct-2020
562,15.04,15-Oct-2020
563,15.35,16-Oct-2020
564,15.53,19-Oct-2020
565,15.48,20-Oct-2020
566,15.51,21-Oct-2020
567,15.59,22-Oct-2020
568,15.64,23-Oct-2020
569,15.48,26-Oct-2020
570,15.51,27-Oct-2020
571,15.45,28-Oct-2020
572,15.38,29-Oct-2020
573,15.44,30-Oct-2020
574,15.47,02-Nov-2020
575,15.45,03-Nov-2020
576,15.45,04-Nov-2020
577,15.8,05-Nov-2020
578,15.84,06-Nov-2020
579,16.07,09-Nov-2020
580,16.1,10-Nov-2020
581,16.28,11-Nov-2020
582,16.32,12-Nov-2020
583,16.41,13-Nov-2020
584,16.57,17-Nov-2020
585,16.62,18-Nov-2020
586,16.63,19-Nov-2020
587,16.8,20-Nov-2020
588,17.04,23-Nov-2020
589,17.27,24-Nov-2020
590,17.07,25-Nov-2020
